[  717911ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  726346ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/visual-1782311701191-1tqn?autoplay=true&list=:0
[  728625ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  728625ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  728625ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  728625ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  730164ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  730164ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  730165ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  730165ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  738640ms] [WARNING] The resource https://fonts.reown.com/KHTeka-Medium.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://web3tv2.dev/video/documentaries/visual-1782129721866-1q0a?autoplay=true&list=:0
[  740749ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  740749ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  740749ms] [LOG] videojs-http-source-selector initialized! @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  740749ms] [LOG] player.techName_:Html5 @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  742415ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  742415ms] [LOG] player.videojs_http_source_selector_initialized == false @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  742416ms] [LOG] VIDEOJS: loadmetadata event @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
[  742416ms] [LOG] player.videojs_http_source_selector_initialized == true @ https://web3tv2.dev/_next/static/chunks/0y86hezcdae_f.js:9
